uid,uname,出度,入度,所涉领域,是否认证,认证原因,关注数,粉丝数,微博数,简介,标签,地址,性别,主页,生日,注册时间,公司,学校,cluter_result
2269762432,愁容骑士典当记,59,5786,2,True,知名电视剧博主娱乐综艺视频自媒体,583,1767588,5730,不怎么吃人，除非饿了。/ 飙车系剪刀手 / 视频剪辑 / 修图排版/ 平面设计/ 画画 / 一切合作约稿请私信。,"影视剪辑,文学,安利种草,电影,同人,画手,平面设计,修图后期,绘画,动漫",上海,女,,,40750,,,3
5690608944,天眼查,1,5745,3,True,北京金堤科技有限公司,1433,589659,3817,天眼查，人人都在用的商业查询平台。,IT/互联网/电子产品-app应用,,,,,,,,4
1215468900,Tiger公子,186,5711,3,False,,1402,1012263,132217,努力生活,吐槽星人,海外,女,,白羊座,40287,,,2
2006455031,然后下面就没了,42,5600,2,True,微博知名搞笑博主,609,14243763,119442,我喜欢你超过两分钟了 不能撤回了,,四川 成都,女,,34624,40606,,,0
2028810631,新浪新闻,2,5529,3,True,新浪新闻,1931,49752496,72815,上新浪新闻客户端，每天了解世界多一点。下载客户端：http://sina.cn/j/d.php?k=87,新媒体-移动媒体,,,,,,,,4
3548203671,演员文淇,1,5518,1,True,金马女配得主作品《嘉年华》《血观音》,172,8457542,269,联系人邮箱：fyzqm2003@163.com,,,,,,,,,1
6862434113,法外狂徒张三君,6,5473,1,False,,2,614791,345,"不点关注,死刑起步（不是罗老师）",,其他,男,,双鱼座,43427,,,1
5786394873,成都市精神内科副主任,128,5451,2,True,搞笑幽默博主,194,280906,2413,如果取关我会把你还给人海，还给你最爱人的手里,喜欢听歌,四川,男,,37987,42346,,四川大学,3
1771295435,江南大野花,244,5266,2,True,微博知名搞笑博主,960,5589447,55098,【观影手册：http://www.douban.com/photos/album/51651260/】,,其他,女,,,40368,,,1
7313178382,非洲土著小王子,14,5025,2,False,,173,594054,1437,别太当真啦,,海外,男,,36216,43739,,,2
7122671156,憨憨行為实录,35,4969,1,False,,697,2454775,5193,这里憨憨行为实录！有什么憨憨的事的大家都可以投稿！！,相亲,广东,男,,34634,43592,,,2
2366517924,花泽美美,65,4955,1,True,搞笑幽默博主,511,3836268,33192,一个人的兵荒马乱,"电影吐槽,强迫症,视频,漫画,电视评论人,娱乐评论人,我的床上读物,撕逼,八卦,吐槽",其他,男,,,40788,,,4
1881940564,有盐电影,55,4923,2,True,知名影视博主电影视频自媒体微博签约自媒体,400,5087178,14569,The heart was made to be broken.,"音乐,看书,狗狗,英剧,美剧,电影,旅游,吃货",其他,女,,天蝎座,40504,,,4
1885688010,吃瓜群众CJ,85,4860,3,True,天涯社区娱乐八卦版主微博2019十大影响力娱乐大V,799,12100149,9518,公号：cj10141234,,海外 美国,男,,44483,40512,,,0
2289537274,日本零君,62,4834,1,True,知名本地博主海外资讯博主（日本）http://t.cn/RqC5luA,284,3926809,12105,日本动漫，日本娱乐，日本美食，日本美景，日本趣闻，图文转自网络,"趣闻,风土人情,动漫,日本",其他,男,,白羊座,40761,,,4
2136632293,亚尼大帝,206,4730,2,True,娱乐博主,1339,235384,70064,秃头大叔，铁血硬汉。,,上海 静安区,男,,44324,40679,,,0
1638782947,新浪财经,4,4619,3,True,新浪财经官方微博,2677,22623122,229991,新浪财经提供7*24财经资讯及全球市场报价，覆盖股票、期货等多种面向个人和企业服务，主打产品:新浪财经APP...,其它,,,,,,,,4
2713968254,YKYBtao-黄子韬,0,4423,1,False,,5,61654222,159,把时间留给值得的角色和故事。已回归微博。,,,,,,,,,1
1764222885,当时我就震惊了,26,4365,2,True,搞笑幽默博主,853,30539292,88563,分享有趣内容，每天给你惊喜。,"奇人趣事,八卦,爆料,资讯,公益,90后,旅行,电影,学生",四川,男,,,40371,,中国人民大学,3
1086233511,颜文字君,94,4349,2,True,微博人气动漫博主,738,5808995,60305,一只整天摸鱼的大可爱✧ෆ◞◟˃̶̤⌄˂̶̤⋆biubiu,"动漫宅,卖萌给你看,颜文字",其他,男,,巨蟹座,40897,,,4
6067819454,反吃瓜联盟,58,4257,1,True,头条文章作者,310,256089,6416,"微信公众号：,NoMelonGroup,|,拒绝吃瓜,|,“各种政策法案丑闻八卦都很熟悉”的号",,海外,男,,,42696,,,0
6626006317,l鱼苗I,121,4227,2,False,,321,137574,7606,ᕕ( ᐛ )ᕗ我好快乐因为我在我的快乐宇宙,,其他,女,,,43320,,,1
5286828145,小成故事多啊,33,4142,1,False,,633,334553,6220,中国土味祝福小视频引领者,夜猫子,海外,男,,25204,41893,,,2
1895944731,姨太的吃瓜大会,17,4141,2,True,知名娱乐博主搞笑视频自媒体,670,2981405,13156,好看的都喜欢，墙头有＿＿＿＿多，一起吃瓜一起哔哔！,,海外 其他,女,,,40529,,,0
1951123110,紧急呼叫,0,4089,3,True,新京报“我们视频”旗下热点新闻栏目,185,2008802,9737,我们视频《紧急呼叫》栏目，即时连通新闻最热点。,新媒体-移动媒体,,,,,,,,4
6451185052,CatchUp性别平等姐妹,102,4073,2,True,看见女性劳动者超话主持人,,,,CatchUp性别平等姐妹，以科普两大常识为使命:1、我们的社会是性别不平等的男权社会;2、女权主义千头万绪，归根结底就是在全人类范围内实现性别公正。,,四川,CatchUp性别平等姐妹,,,43103,,,0
1582791370,解薯宁,182,3937,2,False,,247,27060,70604,常识。（被禁言了，原有简介都被新浪删了。正在走程序，希望新浪准备好。）,,其他,男,,天蝎座,40216,,,1
2858270197,七百里加急递煎饼,10,3899,1,True,知名娱乐博主,1589,1369554,14977,国家一级东拉西扯种子选手,,上海,男,,41861,41178,,,0
2658345322,巴斯小板,38,3840,1,False,,383,328953,33596,没素质且肤浅,,其他,女,,36159,40916,,,1
1642634100,新浪科技,0,3727,2,True,新浪科技官方微博,2215,24218154,139221,新浪科技是中国最有影响力的TMT产业资讯及数码产品服务平台。让我们带你观察世界变化，看清行业趋势！,,,,,,,,,1
1907166177,一个有点理想的记者,30,3723,2,True,媒体人（北京）资深时评人微博签约自媒体,1890,5009602,21698,声明：本人的理想是吃喝玩乐照顾家人，微博名字起的早不爱改了，微博上言论与职业无关，不代表所在媒体。,,北京,男,,29295,41500,,,0
1742319770,咩咩是朵小花,13,3630,1,False,,317,8119,49528,咖啡因上瘾,什么都刷,上海 徐汇区,女,,42370,40314,,,2
1750513063,尸姐,50,3600,2,True,作家，已出版《我一直在你触手可及的地方》,618,7804939,27597,尽量，尽量让自己开心一点,"死宅,丧女,新世界的神",其他,女,,水瓶座,40332,,,4
1691260001,雪霏Sophia,161,3591,1,True,知名电影博主电影视频自媒体,3051,761860,49259,"Trust me, you deserve better.","抖森,科幻,欧美电影,美剧,电影资讯,X战警,正义联盟,复仇者联盟,DC,漫威",海外 美国,女,,38709,40343,,,3
2137170357,蒙淇淇77,5,3568,1,True,作家，编剧,55,395668,141,作家,作家,北京 海淀区,女,,44289,40679,,,3
5652298665,尉迟燕窝,75,3561,3,False,,240,337428,6687,有味。,美食,其他,男,,128,42199,,清华大学,1
1497266011,岳屾山,4,3512,1,True,北京岳成律师事务所高级合伙人微博原创视频博主,771,2292313,8399,"法律要被信仰,,,,,,,,","中国之声,岳成律师事务所,律师","北京,朝阳区",男,,金牛座,40489,,,3
7121642724,无边桃炎,65,3469,3,True,知名读物博主,242,1134036,6998,你知道，人的一生，既不是人们想象的那么好，也不是那么坏,,其他,女,,,43591,,,1
1642591402,新浪娱乐,2,3414,4,True,新浪娱乐为你带来最新鲜的娱乐资讯,3377,40188243,159467,新浪娱乐,,,,,,,,,1
1832665202,福多多剧有福,48,3394,2,True,知名电视剧博主微博电视团成员微博签约自媒体,978,2452777,51754,这是一个电视剧微博,"帅哥控,电视剧,影视明星,截图修图,5IVES,ps",浙江,女,,44208,40449,,,3
1191965271,三联生活周刊,1,3375,5,True,《三联生活周刊》官方微博,607,22433845,52545,一本杂志和他倡导的生活.,杂志-时政新闻,,,,,,,,4
6640656158,弦子与她的朋友们,44,3304,1,True,编剧,1735,306737,1599,,,北京,女,,43328,43328,,,0
2207752951,设计系奶子,33,3271,1,True,微博知名幽默博主微博原创视频博主,839,2742343,14313,你为什么还不来关注我的那个号：nobrain886,,北京 朝阳区,女,,35152,40723,,中国美术学院,0
2615398822,大爷有画好好说,6,3261,1,False,,1550,24836,442,私信我照片，作幅画，为你最爱的人！,"文艺女青年一枚,自由职业,肖像素描,畫畫,艺术生",广东 广州,女,,33464,41708,,,2
5156313848,俄罗斯田园猫,73,3211,1,True,淘宝俄罗斯田园猫官方微博,2323,179455,48944,店主试色微博请关注@小猫试色，淘宝店名俄罗斯田园猫，本店无任何分店。https://sweetysoul.taobao.com...,美容美发/彩妆卫浴-彩妆,,,,,,,,4
1889690730,鹿儿团团,29,3176,1,True,知名搞笑幽默博主超话主持人（鹿儿团团超话）搞笑视频自媒体,888,10230364,5630,著名奶茶鉴定家,旅游,海外,女,,,40518,,,3
5040955225,天涯历知幸,31,3141,3,True,互联网科技博主,673,2065951,6432,客户经理里最好的小说作者！小说作者里最好的客户经理！,,其他,男,,20487,41686,,,1
6910831244,田浩Ty,26,3132,1,True,作家，代表作《边境夜行人》,959,1963569,1812,,,其他,男,,32719,43465,,,1
2097767661,神猫罗尼休,111,3125,2,False,,449,195726,43487,疯子中的疯子就是在下,"爱吃,电影迷,爱幻想,文艺",山东,男,,44304,40653,,,2
2524046094,挽彤,50,3003,1,True,半次元人气绘师,564,92406,5255,母控,,海外,女,,33738,40856,,,0
6587114104,芸豆和雨豆,95,2985,3,True,知名娱乐博主,740,957505,9407,包容自己的幼稚，也允许自己世故。,,北京,女,,31865,43280,,,0
1991194723,粽粽粽粽粽粽粽,38,2982,1,True,绘本作家，已出版《你好，睡了吗》,863,9816435,63213,让我陪在你身边，早安、午安、晚安❤,"间歇性寂寞症,机智可爱,忧郁少女",山东 济南,女,,,40599,,,3
1687198333,严锋,26,2967,3,True,复旦大学中文系教授,1992,5408630,37682,我最好的文章都在微信公号：fudanyanfeng ，推荐各种好书、好乐、好吃、好玩、好人。,"巨蟹座,看书,科技,新发现,善良,美食,上海,游戏,美剧",上海 黄浦区,男,,,40206,,复旦大学,3
5609418941,人间说明书bot,0,2941,1,True,读物博主,21,355876,94,偶尔画时代，偶尔画日常。,,"上海,黄浦区",男,,,42141,,,0
1678092064,月神的竖琴,37,2936,1,True,编剧,779,66557,6274,不怕不怕我有大地之盾,"水瓶座的败类,疯魔",北京,女,,,40182,,,3
2046282503,腐格格,288,2848,2,False,,565,248209,199777,萌巍澜、朱白、盾冬，不混饭圈远离掐架/ 爱发电：https://afdian.net/@fugege,"看电影,吃货,跨界创意控,节操可以吃吗,墙头太多数不清,不吐槽会死,环游世界控,白羊座,宅腐",重庆 江北区,女,,白羊座,40628,,四川美术学院,2
1645599505,纽太普newtype,35,2847,2,False,,1229,81327,7628,气氛上多少是个作家。国家二级脑洞师。,"纽太普,媒体",上海,男,,44442,40063,,,2
1263977197,安迪斯晨风,48,2843,1,True,读物博主,2199,721018,35341,科普作家，作品有《一本不正经的博物志》《八卦心理学》,"推遍天下,推书,国际米兰,阿根廷,心理咨询师",河北 石家庄,男,,30751,40498,,,3
6619709076,人间反光镜,1,2807,1,False,,18,142634,46,,,北京 朝阳区,男,,,43314,,,2
1757573407,休闲璐,24,2779,2,True,知名搞笑幽默博主,921,4966105,17478,爱打游戏,,北京,女,,,40342,,,0
3184616050,纳河风沙,10,2765,1,False,,302,2021,7655,什么天策？我不就是个养马的吗？,"文艺,星座命理,游戏动漫","山东,青岛",女,,金牛座,41314,,,2
2027380470,鱼糕冷,3,2745,1,False,,178,578,150,Keep calm and carry on 每天别问自己做了什么 问自己为什么做,,其他,女,,,40623,,香港科技大學,1
1267454277,凤凰周刊,2,2698,5,True,凤凰周刊官方微博客,659,21414837,63481,《凤凰周刊》是由香港凤凰卫视主办在中国大陆发售的时政、财经、文化期刊。,杂志-时政新闻,,,,,,,,4
5053469079,最高人民检察院,4,2694,1,True,最高人民检察院微博,249,13336655,34842,"最高人民检察院是最高检察机关,主要任务是领导地方各级人民检察院和专门人民检察院依法履行法律监督职能,保...",检察院,,,,,,,,4
3751474407,后悔结婚生小孩,110,2671,1,False,,191,33152,6917,现在后悔没关系，怕的是一辈子后悔,,"黑龙江,哈尔滨",男,,,41512,,,2
5890672121,搜狐新闻,0,2668,3,True,搜狐新闻官方微博,281,1335389,19580,乖巧.jpg,媒体网站,,,,,,,,4
2259906485,文科班校花酱,40,2624,2,True,微博知名搞笑博主搞笑幽默博主,777,11367004,88005,关注 1 粉丝 9999万,,海外,男,,44404,40942,,,0
1743065561,刘码露,27,2595,1,True,知名娱乐博主,994,738669,26362,不介绍一下我自己,美剧,海外 泰国,女,,双子座,40441,,,3
1805300532,库特纳霍拉的骨头,37,2589,1,False,,660,27217,15327,𝐁𝐮𝐭 𝐈 𝐡𝐚𝐯𝐞 𝐩𝐫𝐨𝐦𝐢𝐬𝐞𝐬 𝐭𝐨 𝐤𝐞𝐞𝐩,美食,海外,女,,射手座,40422,,,2
1988800805,凤凰网财经,1,2574,4,True,凤凰财经官方微博,956,12885640,107648,离用户最近的财经媒体！,媒体网站,,,,,,,,4
2214838982,开水族馆的生物男,74,2550,3,True,中国渔业协会原生水生物及水域生态专业委员会主任委员周卓诚,4470,6756022,110484,野外探索者，独立鱼类学者,"吃货,不是卖鱼的,生物地理,鱼类分类,野生动物保护,鱼类博物学者,伪心理学家",浙江,男,,天蝎座,40728,,国立台南大学,3
6593893685,果子狸7777,81,2511,1,True,互联网科技博主,701,111982,17807,4个7,,四川,女,,射手座,43288,,,0
5281683265,吾六一061,72,2505,2,True,知名娱乐博主,161,152078,30443,✨⛈🌨✨,"八卦杂谈,名人明星,视频音乐,美食",其他,女,,双子座,41886,,,4
7382953936,殆知喵,342,2499,3,False,,11738,40547,69227,哦哦好好好。。。。,,北京,男,,,43860,,,2
1954214213,ssstarriest,30,2493,2,True,娱乐博主,242,827874,80171,国家5A级景区许愿池硬币打捞员,"美食,时尚,旅游,娱乐",海外,女,,22073,40580,,佛罗伦萨美术学院,3
5128345773,甜家一颗大白菜,59,2389,2,True,知名娱乐博主电视剧视频自媒体,173,230077,31105,你坐明堂上，不要沾风雪。,,海外,男,,狮子座,41931,,,0
5866722700,俺八段酱,35,2388,1,True,知名电视剧博主,278,392479,11942,不知名恋爱博主 每天都有新恋情,,北京 东城区,女,,33585,42424,,,0
2035374054,Tekeli_li,71,2351,1,False,,765,96177,35239,个人微博，不接广告,,其他,女,,,40626,,,1
2577139143,亭林镇无业青年,6,2340,1,True,原亭林镇工作室,2889,4661964,20437,我的工作就是不工作。合作联系Tel/Wechat:17621918527,,,,,,,,,1
5661774607,人间有味再寻欢,111,2306,2,True,娱乐博主,268,29153,21307,微博知名骂人博主，说骂你就骂你，骂完还要拉黑你，拉黑还要再挂你,,其他,女,,25861,42211,,,1
1741583790,-音速山谷-,68,2302,1,True,半次元人气绘师,1891,126753,8525,诶嘿~,"Bucky,Raiden,土银,古剑奇谭,Loki,魔戒,仙剑,降世神通,小提琴,天元突破",四川,女,,32821,40312,,四川音乐学院,3
6871390978,快乐追星十级学渣,14,2283,2,True,娱乐博主娱乐综艺视频自媒体,948,730864,13017,是个哈哈哈精,"音乐,搞笑幽默,明星八卦,明星娱乐,明星偶像,综艺节目,青春有你",其他,男,,43439,43436,,,4
7433207980,普法达人张三,0,2281,1,True,法律博主微博原创视频博主,90,242192,492,每天一个入狱小技巧,,其他,男,,,43929,,,1
1786937891,罐头辰,44,2275,1,True,作者褚汉辰，代表作《只怕不再遇上》知名娱乐博主,1640,1217574,3183,领取而今现在,"我就是我,风里笑着风里唱,只怕不再遇上,大头牙医,荣迷",其他,男,,白羊座,40394,,,1
1784473157,中国新闻网,0,2269,5,True,中国新闻网法人微博,1281,68922108,154849,这里提供你不知道、想知道、不能不知道的新闻。,媒体网站,,,,,,,,4
6870772320,藏狐写第3篇Paper,76,2263,1,False,,949,7282,3453,科普博主，欢迎理智讨论，辱骂直接删评拉黑。女权，反婚，兼萌物博主,,其他,男,,31503,43435,,,1
2173825475,丸子安利菌,13,2187,1,True,微博知名美食博主美食博主,248,6081858,16730,公众号：bobawanzi 坐标上海+纽约 合作邮箱：wanzi2016233@163.com,"旅游,动漫,剧,电影,功课,种草,安利,少女心,美食",上海 徐汇区,女,,35366,40706,,,3
6715794259,白桃乌龙冰冰茶,12,2131,1,True,知名电视剧博主,709,2013193,3914,看片带师,,其他,女,,36138,43364,,,1
3183148393,笑点让你毛骨悚然,33,2105,1,False,,99,46880,264,没有一个人的记性，好到可以做一个成功的说谎者—亚伯拉罕.林肯,美食,浙江,女,,,41254,,,2
5585543313,春光灿烂桔八戒,28,2088,1,False,,393,348809,12520,小心互联网,,其他,女,,处女座,42106,,,1
3460516424,HeyWarWars,12,2061,2,True,微博知名音乐博主知名时尚博主音乐视频自媒体视频博主,898,4078780,38222,娱乐评论,"musicwars,billboard,英文歌,taylorswift,艾薇儿,布兰妮,欧美音乐,文艺,名人明星",海外,男,,34155,41407,,,3
1876879003,这是一个很高冷的ID,116,2049,1,True,知名搞笑幽默博主,925,1720528,162747,转发微博丨分享生活丨商务合作请私信丨 日常请点击原创微博-仅粉丝可见,"未脱团,玻璃心,少女心,哈哈党,魔羯座",海外 其他,女,,35069,40510,,,3
6500673277,王白先生字飞雪,111,2029,2,False,,387,43466,14564,一个,,海外 斯洛伐克,男,,巨蟹座,43164,,,2
6444927904,松鼠生活家,6,2016,1,True,知名搞笑幽默博主,172,2666793,3860,你的老年生活记录员,,海外,男,,36061,43097,,,0
1822398137,八鹅吃瓜酱,16,1988,2,True,微博2019十大影响力娱乐大V娱乐综艺视频自媒体,489,10665885,16339,快落追星 吃瓜嗑爱豆,"综艺,八卦杂谈,情感,吐槽,明星,娱乐,电影,时尚,搞笑幽默",上海,女,,双子座,40442,,北京舞蹈学院,3
7389094565,猪柳蛋Mcmuffin,4,1986,1,False,,505,13460,3648,营养价值395大卡,,北京,女,,21615,43870,,,2
5617030362,中国长安网,1,1970,4,True,中央政法委新闻网站官方微博,1136,12571198,39891,中国长安网（www.chinapeace.gov.cn）是中央政法委官方新闻网站。讲好政法故事，弘扬法治精神。,党委-政法委,,,,,,,,4
1645438592,angel安淇儿,39,1968,1,True,知名综艺博主,647,378946,24392,B站：安淇大人 作为剪刀手，什么圈子都会混（除了饭圈），会关注不同爱豆。常年混在选秀圈，是帅哥都有搞的机会,"幽默,交友,乐观,娱乐,动漫,唱歌,上网,睡觉,音乐,听歌",广东 深圳,女,,35042,40338,,广东海洋大学,3
1729650223,西西里岛岛主金女士,15,1926,2,False,,316,1173047,17106,爱好：吃沙拉和练瑜伽,"娱乐,乐安全球购,乐安,乐安美妆",海外,女,,36526,40281,,,2
1323527941,Vista看天下,6,1926,4,True,《Vista看天下》官方微博,1864,22823650,88173,一个有趣的蓝V,杂志-时政新闻,,,,,,,,4
2726698224,阿粪青,20,1849,1,True,知名搞笑幽默博主微博原创视频博主,695,7558508,12500,欢迎投稿,,,,,,,,,1
7040116939,不可回收太阳能人,2,1848,1,False,,186,45734,1981,"Eppur,si,muove.",,广东,女,,21975,43544,,,2
3206764310,速递娘,39,1829,1,True,知名动漫博主,2018,2004630,42847,爱德华·艾尔利克唯一指定女友,"二次元,异常有节操,蜡烛党,兵短真爱,傲娇,游戏动漫",海外 日本,女,,狮子座,41334,,,3
2423325250,荷兰豆养殖专家,51,1827,2,True,知名电影博主,427,240871,16155,别骂了，我不会看的,,其他,女,,双子座,40811,,,1
1223812162,反射弧超长星人影九,85,1820,1,True,知名动漫博主,506,128212,52546,"SB和2B的简单相加=,=,发脾气需要长时间CD和读条星人。围观有风险，关注需谨慎,（不教骂人谢谢。给学费也不教(｡•ˇ‸ˇ•｡)","重点一向很偏,什么CP都吃勿掐,年更党,铁甲依然在你妹,最讨厌上纲上线,同圈退散,拖延症重症患者,粉红水域咪子鱼,脑残志不坚",广东,男,,18275,40330,,中国逻辑与语言函授大学,3
6192247898,歌且行风长吟·,53,1804,1,False,,335,348268,21000,沿途逛世间一趟只得向上,,其他,女,,天蝎座,43002,,,1
1773294041,王菊,0,1804,2,True,歌手，演员王菊,557,10286757,519,工作请联络：新湃传媒X王菊工作室wangjustudio@163.com,,,,,,,,,1
3895876696,燃君的燃,20,1790,1,True,头条文章作者,710,22688,7058,看见即疗愈,"亲子,育儿,职场,价值观,女性,情感,心理学,心理,宠物","上海,闵行区",男,,水瓶座,41587,,南开大学,3
6004281123,梨视频,0,1734,3,True,资讯短视频平台,2731,23614088,78272,［视频报料邮箱］：yishou@pearvideo.com；［自媒体入驻网址］：http://www.pearvideo.com/join,机构自媒体-其他,,,,,,,,4
1799966461,蓝爵Yoyo,42,1729,1,True,知名电影博主,469,194339,12747,“今天辛苦 明天可能更苦 但后天会有好事发生。”,【不混饭圈】,海外 比利时,女,,44395,40411,,,3
1151243311,琉玄,27,1724,1,True,作家漫画家编剧头条文章作者,193,651681,9022,面无表情，心底欢腾。 【工作邮箱：lx_xx@126.com】,"你可以爱我,咖啡要喝热拿铁,家里蹲星人,天蝎,嗜睡,做饭给我吃,浮想",上海 徐汇区,女,,44500,40057,,,3
6593871464,天秀bot,35,1717,1,True,知名搞笑幽默博主搞笑视频自媒体微博剪辑视频博主,989,11944018,9501,不是天秃bot,"人才,搞笑幽默",其他,男,,43101,43288,,,4
1706500860,纯良英俊的笑了笑,64,1652,1,True,段子手,783,1466725,20098,再看！我就把你次掉(๑ˇڡˇ๑),"颜控,幽默,哈哈党,段子,搞笑",海外 其他,女,,40464,40244,,,3
